,[Supplier],Product name/Part #,Quantity,Unit Price
1,Polulu,#2828 150:1 Metal Gearmotor 37Dx73L mm 12V with 64 CPR Encoder (Helical Pinion),2,$70.95
2,Polulu,2507 Pololu Dual VNH5019 Motor Driver Shield for Arduino,1,$59.95
3,AmazonPrime,TD-8125MG 25KG Digital Servo 360 Degree Waterproof Large Torque Metal Gear for DIY Robot Robotic Arm RC Model PWM 500μs-2500μs,2,$22.88
4,AmazonPrime,"3pcs ESP32 S3 Development Board N16R8 ESP WROOM 32 S3 WiFi+Bluetooth IoT Type-C Core Board Development Hat WiFi + Bluetooth MCU Module, Dual Type-C ESP32-S3 DevKitC 1",1,$23.74
5,DigiKey,"EVAL BOARD FOR INA260, Manufacturer Product Number:4226, DigiKey Part Number:1528-2955-ND",3,$9.95
6,AmazonPrime,5 Pack LM2596 DC to DC Buck Converter 3.0-40V to 1.5-35V Adjustable Voltage Regulator Electronic Voltage Stabilizer Power Supply Step Down Module,1,$7.99
7,AmazonPrime,"Miuzei 20KG Servo Motor High Torque RC Servo Metal Gear Waterproof for 1/8, 1/10 R/C Model DIY Car Robot, DS3218, Control Angle 270° ",1,$13.78
8,AmazonPrime,Teyleten Robot GY- BNO085 AR VR IMU High Accuracy Nine-Axis 9DOF AHRS Sensor Module Better Than BNO080 BNO055,1,$17.99
9,AmazonPrime,Ubeck,1,$18.98
10,AmazonPrime,"Lipo Safe Bag, Fireproof Explosion-Proof Lipo Battery Bag for Safe Charging and Storage, 2 Packs(black)",1,$9.99
11,AmazonPrime,Zeee 3S Lipo Battery 2200mAh 11.1V 50C Shorty Pack Battery with XT60 Plug for RC Car Truck RC Vehicles Boat Drone RC Airplane Quadcopter Helicopter FPV Racing Hobby Models(2 Pack),1,$34.19
12,Polulu,Pololu Stamped Aluminum L-Bracket Pair for 37D mm Metal Gearmotors,1,$11.95
13,Amazon Prime,5 Pairs XT60 Plug Connector Female and Male with 14AWG Silicon Wire for RC Lipo Battery Cable Drone Car Boat,1,$10.99
14,Amazon Prime,"Battery Charger for 2S 3S LiPo Battery, Balance Charger for XHR Plug Battery, Lipo Chargers for RC Toy & Model, RC Battery Chargers with Smart Chip",1,$16.99
15,Amazon Prime,Polymaker PETG White 3D Printer Filament,1,$19.99
16,Amazon Prime,Polymaker PETG Red 3D Printer Filament ,1,$19.99
17,Amazon Prime,20A switch,1,$8.99
18,Amazon Prime,Fermerry 16 AWG Stranded Wire Spool 5ft Each 6 Colors,1,$14.09
19,Amazon Prime,XT60 Y-splitter,1,$8.99
20,Amazon Prime,750PCS M3 Screws Assortment Kit,1,$9.99
21,Amazon Prime,480Pcs M2 M2.5 M3 Motherboard Standoffs&Screws&Nuts Kit,1,$18.99
22,Amazon Prime,"Wago 15pc 2, 3, 5 Port Splicing Connectors",1,$12.95
23,Amazon Prime,Aluminium servo horns ,1,$6.99
24,McMaster Carr,"Multipurpose 6061 Aluminum Rod, 1"" Diam, 1/2 ft long",1,$7.11
25,McMaster Carr,Metal Gear Rack - 20 Degree Pressure Angle - 2485N237,1,$36.15
26,McMaster Carr,"Surface-Mount Hinge with Holes
Brass, Nonremovable Pin, 1"" x 1/2"" Door Leaf",2,$1.55
27,McMaster Carr,"Ceramic Magnet
Magnetized Through Thickness, 1"" Thick, 1"" Wide, 2"" Long - 5738K35",2,$3.19
28,McMaster Carr,"Metal Gear - 20 Degree Pressure Angle = 2664N375
Round, 1 Module, 96 Teeth",1,$52.95
29,Amazon Prime ,Polyurathan resin kit,1,$39.99
30,Amazon Prime ,Silisone mold kit,1,$46.52
31,Amazon Prime,"8"" x 10"", 1/4"" thick acrylics sheets, pack of 4",1,$29.99
32,Mcmaster Carr,20 Degree Pressure Angle Gear Rack - 2662N52,1,$4.53
33,Mcmaster Carr,20 Degree Pressure Angle Plastic Gear - 2662N13,1,$7.37
34,Mcmaster Carr,Surface-Mount Hinge with Holes - 1603A23,2,$1.55
35,Mcmaster Carr,Screw Eye - 1311T18,1,$1.87
36,Mcmaster Carr,Music Wire Steel Extension Spring with Loop Ends -  5108N117,1,$16.30
37,Amazon Prime,M2 M2.5 M3 M4 M5 M6 Stainless Steel Phillips Flat Head Machine Screws Assortment Kit,1,$13.99
38,Amazon Prime,120pcs Breadboard Jumper Wires 20cm Wire Length Optional Dupont Cable Assorted Kit Male to Female Multicolored Ribbon Cables,1,$6.98
39,Amazon Prime,20Pcs A3144 3144 Hall Effect Sensor OH3144 AH3144E 3Pins Magnetic Detector,1,$6.99
40,AmazonPrime,TD-8125MG 25KG Digital Servo 360 Degree Waterproof Large Torque Metal Gear for DIY Robot Robotic Arm RC Model PWM 500μs-2500μs,1,$22.88
41,Amazon Prime,TRYMAG Magnets for Crafts 0.7x0.12In Strong Magnet 20Pcs Magnetic Circle Adhesive Small Craft Round Fridge Backing Mini Button Ceramic Sticky Circles Magnetics Neodymium Heavy Duty Strips Dots 18x3mm,1,$3.98
42,Amazon Prime,"240 Pack Small Magnets,5x2mm Refrigerator Magnets",1,$7.19
43,Mcmaster Carr,Surface-Mount Hinge with Holes - 1603A23,2,$1.55
44,Amazon prime,"Sunlu, PLA filament black",1,$13.99
45,Polulu,131:1 Metal Gearmotor 37Dx73L mm 12V with 64 CPR Encoder (Helical Pinion),2,$60.95
46,Amazon,Cytron Dual Channel 10A DC Motor Driver MDD10A,1,$23.95
47,Mcmaster Carr,20 Degree Pressure Angle Gear Rack - 2662N52,1,$4.53
48,McMaster Carr,Black Rubber Protective Coating 14.5 fl oz can,1,$18.44
,,,Total w/o shippping,"$1,068.30"
,,,Total Shipping,$62.44
,,,Total Budget Spent,"$1,130.74"